18940,160
18920,160
18919,160
18917,160
18916,160
18965,160
18923,160
18922,160
4114459,160
18921,160
18924,160
18925,160
18926,160
18971,160
18972,160
18973,160
18974,160
18975,160
18939,160
18985,160
18918,160
18969,160
18964,160
4011343,160
18960,520
18959,160
18958,160
18957,160
18956,160
18955,160
18954,160
18953,160
18952,160
18951,160
18950,160
18949,160
18948,160
18947,160
18946,160
18914,160
18961,360
18962,360
18963,360
18967,360
18966,360
18968,360
18913,360
18912,360
18911,360
18910,360
18909,360
18906,360
18908,360
18907,360
2314493,360
2314514,360
3014630,360
1010053,160
18941,160
18942,160
18927,160
18928,160
18929,160
18930,160
18936,160
18934,160
18935,160
18937,160
18931,160
18932,160
910777,160
18987,320
8210164,160
3608883,160
18892,160
18893,160
18895,160
18894,160
18898,160
18899,160
18901,160
18902,160
18978,160
18979,160
18980,160
18981,160
8210163,160
18889,160
2815191,160
18891,160
7612124,160
8615209,160
18897,160
3515230,160
18900,160
18976,160
3515265,160
3515266,160
1814711,100
1814712,100
1814713,100
9505577,160
7405493,160
18852,1432
18851,1432
18853,1432
18854,1432
18855,1432
18856,1432
18857,1432
18984,1432
18989,1432
18862,1432
18863,1432
18868,1432
19000,1432
18870,1432
18872,1432
18873,1432
18874,1432
18877,1432
18878,1432
18879,1432
18880,1432
18881,1432
18882,1432
9505541,1372
3305856,1372
3305845,1372
3305749,1372
2705944,1372
9206550,1372
18860,1372
18861,1372
18858,1372
18859,1372
18850,1372
18848,1372
4406608,1372
18849,1372
18986,828
18864,828
18865,828
6714561,828
18867,828
18869,828
18871,828
1010054,828
18875,828
18876,828
18944,828
18883,828
18884,828
18885,828
18886,828
18887,828
18888,828
18890,828
8010123,748
18866,748
4406630,748
2600672,748
4406631,748
6311368,748
6311285,748
6311287,748
1211339,748
1211401,748
9206443,350
9206549,350
9206548,350
5306695,350
5306694,350
5306691,350
7206945,350
7206944,350
7206943,350
7206877,350
19040,350
19041,350
19042,350
19043,350
19044,350
19045,350
