Stop: 410003579     983 buses per day
Stop: 410003582     863 buses per day
Stop: 4114465       867 buses per day
Stop: 410003281     440 buses per day
Stop: 4114513       440 buses per day
Stop: 410003296     440 buses per day
Stop: 410003297     440 buses per day
Stop: 4114497       598 buses per day
Stop: 410003271     598 buses per day
Stop: 620003269     598 buses per day
Stop: 620003266     598 buses per day
Stop: 620003264     598 buses per day
Stop: 620003265     598 buses per day
Stop: 620003113     525 buses per day
Stop: 6201708       698 buses per day
Stop: 620003108     622 buses per day
Stop: 620003107     622 buses per day
Stop: 620003104     622 buses per day
Stop: 620003103     622 buses per day
Stop: 620003101     622 buses per day
Stop: 620003100     891 buses per day
Stop: 620003194     891 buses per day
Stop: 6201715       617 buses per day
Stop: 6201716       538 buses per day
Stop: 620003198     494 buses per day
Stop: 620003200     387 buses per day
Stop: 620003202     230 buses per day
Stop: 620003205     154 buses per day
Stop: 620003206     230 buses per day
Stop: 620003295     230 buses per day
Stop: 620003227     230 buses per day
Stop: 620003224     230 buses per day
Stop: 830004022     113 buses per day
Stop: 8313617       113 buses per day
Stop: 830004023     113 buses per day
Stop: 830004024     113 buses per day
Stop: 8313615       113 buses per day
Stop: 830004027     113 buses per day
Stop: 8313358       113 buses per day
Stop: 830004028     113 buses per day
Stop: 830004071     436 buses per day
Stop: 830004074     436 buses per day
Stop: 830004077     544 buses per day
Stop: 830004076     544 buses per day
Stop: 830004079     544 buses per day
Stop: 830004082     544 buses per day
Stop: 830003997     531 buses per day
Stop: 830003995     531 buses per day
Stop: 830003994     531 buses per day
Stop: 840003992     531 buses per day
Stop: 840000577     396 buses per day
Stop: 840000579     279 buses per day
Stop: 840000594    1188 buses per day
Stop: 710000596    1188 buses per day
Stop: 710000599    1188 buses per day
Stop: 710000600     889 buses per day
Stop: 710000567    1476 buses per day
Stop: 710000601    1320 buses per day
Stop: 710000602    1255 buses per day
Stop: 710000603    1255 buses per day
Stop: 710000604    1255 buses per day
Stop: 710000605    1375 buses per day
Stop: 710000639    1764 buses per day
Stop: 710000610     226 buses per day
Stop: 710000974    1202 buses per day
Stop: 710000975    1255 buses per day
Stop: 710000976    1255 buses per day
Stop: 7113167      1255 buses per day
Stop: 710000977    1255 buses per day
Stop: 710000978    1477 buses per day
Stop: 710000598    1190 buses per day
Stop: 710000597    1190 buses per day
Stop: 840000595    1190 buses per day
Stop: 840000586    1280 buses per day
Stop: 840000578     396 buses per day
Stop: 840003991     529 buses per day
Stop: 840003993     529 buses per day
Stop: 830003996     529 buses per day
Stop: 830003998     529 buses per day
Stop: 830004081     545 buses per day
Stop: 830004080     545 buses per day
Stop: 830004075     545 buses per day
Stop: 830004078     545 buses per day
Stop: 830004073     437 buses per day
Stop: 830004072     437 buses per day
Stop: 830004029     113 buses per day
Stop: 8313357       113 buses per day
Stop: 8313359       113 buses per day
Stop: 830004026     113 buses per day
Stop: 830004025     113 buses per day
Stop: 8313616       113 buses per day
Stop: 8313444       113 buses per day
Stop: 30003239       41 buses per day
Stop: 30003238      125 buses per day
Stop: 30003242      125 buses per day
Stop: 301735        125 buses per day
Stop: 30003245      125 buses per day
Stop: 30003247      125 buses per day
Stop: 30003249      125 buses per day
Stop: 30003250      125 buses per day
Stop: 30003252      125 buses per day
Stop: 301732        125 buses per day
Stop: 4101041       125 buses per day
Stop: 410003256     125 buses per day
Stop: 410003257     125 buses per day
Stop: 410003258     125 buses per day
Stop: 410003260     289 buses per day
Stop: 410003261     289 buses per day
Stop: 4114498       289 buses per day
Stop: 4114515       289 buses per day
Stop: 640000118     199 buses per day
Stop: 640000124     366 buses per day
Stop: 640000125     366 buses per day
Stop: 640000127     366 buses per day
Stop: 640000129     366 buses per day
Stop: 640000131     366 buses per day
Stop: 640000132     276 buses per day
Stop: 640000117     146 buses per day
Stop: 640000116     146 buses per day
Stop: 640000115     146 buses per day
Stop: 640000112     146 buses per day
Stop: 640000147     117 buses per day
Stop: 640000175     247 buses per day
Stop: 640000174     247 buses per day
Stop: 640000171     439 buses per day
Stop: 640000225     757 buses per day
Stop: 640000264     735 buses per day
Stop: 640000335     659 buses per day
Stop: 640000358     579 buses per day
Stop: 640000530      50 buses per day
Stop: 640000529     252 buses per day
Stop: 640000528      59 buses per day
Stop: 640000527     132 buses per day
Stop: 640000526     205 buses per day
Stop: 640000525      78 buses per day
Stop: 640000524     179 buses per day
Stop: 640000523     155 buses per day
Stop: 640000522     226 buses per day
Stop: 640000521     131 buses per day
